ds,yhat1
2020-01-31,166.66524
2020-02-29,152.6726
2020-03-31,182.0828
2020-04-30,105.86991
2020-05-31,7.8398137
2020-06-30,1.6545895
2020-07-31,-0.30796334
2020-08-31,18.286425
2020-09-30,31.436743
2020-10-31,86.50338
2020-11-30,131.94727
2020-12-31,180.84204
2021-01-31,85.23793
2021-02-28,79.82936
2021-03-31,96.27227
2021-04-30,57.87518
2021-05-31,3.9661443
2021-06-30,1.6199551
2021-07-31,-0.9716376
2021-08-31,16.091095
2021-09-30,29.010075
2021-10-31,98.478516
2021-11-30,177.52795
2021-12-31,306.2189
2022-01-31,184.83995
2022-02-28,138.67534
2022-03-31,126.91778
2022-04-30,57.428314
2022-05-31,2.4316063
2022-06-30,1.5280322
2022-07-31,-1.2675769
2022-08-31,12.962658
2022-09-30,22.287117
2022-10-31,79.975266
2022-11-30,143.40227
2022-12-31,252.97302
2023-01-31,154.22592
2023-02-28,128.53174
2023-03-31,135.38226
2023-04-30,75.06835
2023-05-31,3.7557163
2023-06-30,2.7346468
2023-07-31,-2.1905665
2023-08-31,14.16945
2023-09-30,19.898737
2023-10-31,71.51516
2023-11-30,121.508156
2023-12-31,208.91394
2024-01-31,122.655334
2024-02-29,105.77391
2024-03-31,118.6719
2024-04-30,65.2362
2024-05-31,4.5698943
2024-06-30,1.0031353
2024-07-31,-0.18910985
2024-08-31,12.095221
2024-09-30,21.78674
2024-10-31,68.51556
2024-11-30,121.57056
2024-12-31,200.65402
2025-01-31,118.01897
2025-02-28,102.589836
2025-03-31,114.562
2025-04-30,64.23713
2025-05-31,4.112887
2025-06-30,1.5034977
2025-07-31,-0.80616194
2025-08-31,12.234067
2025-09-30,20.25793
2025-10-31,66.51118
2025-11-30,116.31014
2025-12-31,194.58328
2026-01-31,114.35135
2026-02-28,99.392624
2026-03-31,110.465744
2026-04-30,63.159645
2026-05-31,3.6819458
2026-06-30,1.9653411
2026-07-31,-1.387505
2026-08-31,12.326469
2026-09-30,18.792458
2026-10-31,64.489296
2026-11-30,111.145935
2026-12-31,188.4614
2027-01-31,110.67318
2027-02-28,96.183075
2027-03-31,106.385056
2027-04-30,62.007225
2027-05-31,3.2765923
2027-06-30,2.3928332
2027-07-31,-1.9174337
2027-08-31,12.384437
