           ds      yhat1
0  2024-09-30  27.275810
1  2024-10-31  28.002430
2  2024-11-30  25.403011
3  2024-12-31  25.127031
4  2025-01-31  25.248817
5  2025-02-28  25.118155
6  2025-03-31  25.168543
7  2025-04-30  24.577290
8  2025-05-31  23.560213
9  2025-06-30  22.780384
10 2025-07-31  22.902712
11 2025-08-31  24.644634
12 2025-09-30  27.205629
13 2025-10-31  28.064659
14 2025-11-30  25.372482
15 2025-12-31  25.168198
16 2026-01-31  25.209206
17 2026-02-28  25.159081
18 2026-03-31  25.125582
19 2026-04-30  24.631010
20 2026-05-31  23.520590
21 2026-06-30  22.833372
22 2026-07-31  22.844311
23 2026-08-31  24.675186
