ds,yhat1
2020-01-31,133.03375
2020-02-29,144.15408
2020-03-31,199.17467
2020-04-30,126.860985
2020-05-31,7.8167677
2020-06-30,4.203793
2020-07-31,-1.8810494
2020-08-31,26.161585
2020-09-30,35.195053
2020-10-31,102.499504
2020-11-30,138.66782
2020-12-31,175.60078
2021-01-31,60.92614
2021-02-28,64.94463
2021-03-31,88.62507
2021-04-30,55.15323
2021-05-31,4.0206156
2021-06-30,1.5202849
2021-07-31,-0.54609144
2021-08-31,16.175852
2021-09-30,25.807087
2021-10-31,97.951645
2021-11-30,184.89429
2021-12-31,353.21057
2022-01-31,215.26497
2022-02-28,142.28856
2022-03-31,102.553535
2022-04-30,20.288387
2022-05-31,-1.2803488
2022-06-30,0.09004636
2022-07-31,-0.011425008
2022-08-31,10.863059
2022-09-30,24.059456
2022-10-31,82.67843
2022-11-30,146.26093
2022-12-31,260.28555
2023-01-31,151.4647
2023-02-28,126.81858
2023-03-31,144.84749
2023-04-30,74.30192
2023-05-31,6.0462656
2023-06-30,0.43237865
2023-07-31,0.44413403
2023-08-31,12.024584
2023-09-30,19.652493
2023-10-31,64.76694
2023-11-30,114.86495
2023-12-31,202.7841
2024-01-31,118.76982
2024-02-29,106.07005
2024-03-31,123.33346
2024-04-30,68.09135
2024-05-31,3.6924958
2024-06-30,2.0320976
2024-07-31,-0.9403867
2024-08-31,13.472927
2024-09-30,18.71315
2024-10-31,66.39809
2024-11-30,114.404175
2024-12-31,202.12598
2025-01-31,113.735214
2025-02-28,104.03524
2025-03-31,122.66284
2025-04-30,67.4416
2025-05-31,4.3926053
2025-06-30,1.4835665
2025-07-31,-0.47720012
2025-08-31,12.800631
2025-09-30,18.73205
2025-10-31,64.87358
2025-11-30,112.82648
2025-12-31,199.32071
2026-01-31,113.65355
2026-02-28,102.0221
2026-03-31,121.96864
2026-04-30,66.78481
2026-05-31,5.081896
2026-06-30,0.9451063
2026-07-31,-0.021027533
2026-08-31,12.137631
