ds,yhat1
2020-01-31,21.482218
2020-02-29,20.748823
2020-03-31,21.357225
2020-04-30,19.184986
2020-05-31,19.407017
2020-06-30,17.881084
2020-07-31,19.382076
2020-08-31,20.640478
2020-09-30,23.369802
2020-10-31,21.274204
2020-11-30,20.668877
2020-12-31,20.442982
2021-01-31,21.846235
2021-02-28,20.87249
2021-03-31,21.234425
2021-04-30,19.327986
2021-05-31,19.275896
2021-06-30,18.023834
2021-07-31,19.228062
2021-08-31,20.758179
2021-09-30,23.226927
2021-10-31,21.42782
2021-11-30,20.537123
2021-12-31,20.567284
2022-01-31,21.72554
2022-02-28,20.996181
2022-03-31,21.11193
2022-04-30,19.47102
2022-05-31,19.144466
2022-06-30,18.1654
2022-07-31,19.073906
2022-08-31,20.876076
2022-09-30,23.084904
2022-10-31,21.581718
2022-11-30,20.405434
2022-12-31,20.693047
2023-01-31,21.604263
2023-02-28,21.120417
2023-03-31,20.98914
2023-04-30,19.614246
2023-05-31,19.012226
2023-06-30,18.307045
2023-07-31,18.919676
2023-08-31,20.994352
2023-09-30,22.94256
2023-10-31,21.735764
2023-11-30,20.272564
2023-12-31,20.817795
2024-01-31,21.482485
2024-02-29,20.749214
2024-03-31,21.356941
2024-04-30,19.184637
2024-05-31,19.4061
2024-06-30,17.881458
2024-07-31,19.383108
2024-08-31,20.639568
2024-09-30,23.368874
2024-10-31,21.273827
2024-11-30,20.668547
2024-12-31,20.443274
2025-01-31,21.847198
2025-02-28,20.872883
2025-03-31,21.234785
2025-04-30,19.327637
2025-05-31,19.274979
2025-06-30,18.022856
2025-07-31,19.22898
2025-08-31,20.758478
2025-09-30,23.227222
2025-10-31,21.427444
2025-11-30,20.536808
2025-12-31,20.567577
2026-01-31,21.726511
2026-02-28,20.99657
2026-03-31,21.112244
2026-04-30,19.470673
2026-05-31,19.143549
2026-06-30,18.164454
2026-07-31,19.073536
2026-08-31,20.876377
2026-09-30,23.08524
2026-10-31,21.581362
2026-11-30,20.4051
2026-12-31,20.692142
2027-01-31,21.605238
2027-02-28,21.120098
2027-03-31,20.989414
2027-04-30,19.613775
2027-05-31,19.011936
2027-06-30,18.307423
2027-07-31,18.919373
2027-08-31,20.994654
