ds,yhat1
2020-01-31,21.484486
2020-02-29,20.746925
2020-03-31,21.340326
2020-04-30,19.192156
2020-05-31,19.400274
2020-06-30,17.88623
2020-07-31,19.37119
2020-08-31,20.645185
2020-09-30,23.352758
2020-10-31,21.281076
2020-11-30,20.646378
2020-12-31,20.445753
2021-01-31,21.831114
2021-02-28,20.864891
2021-03-31,21.223537
2021-04-30,19.32891
2021-05-31,19.275465
2021-06-30,18.022556
2021-07-31,19.223703
2021-08-31,20.756542
2021-09-30,23.216251
2021-10-31,21.428432
2021-11-30,20.520927
2021-12-31,20.563753
2022-01-31,21.716196
2022-02-28,20.982891
2022-03-31,21.10703
2022-04-30,19.465706
2022-05-31,19.15035
2022-06-30,18.157763
2022-07-31,19.076077
2022-08-31,20.868088
2022-09-30,23.08054
2022-10-31,21.576063
2022-11-30,20.395546
2022-12-31,20.683147
2023-01-31,21.600712
2023-02-28,21.101421
2023-03-31,20.990223
2023-04-30,19.602697
2023-05-31,19.024454
2023-06-30,18.293056
2023-07-31,18.928373
2023-08-31,20.980007
2023-09-30,22.9445
2023-10-31,21.723835
2023-11-30,20.269037
2023-12-31,20.801586
2024-01-31,21.48474
2024-02-29,20.747303
2024-03-31,21.340057
2024-04-30,19.191824
2024-05-31,19.3994
2024-06-30,17.886591
2024-07-31,19.372177
2024-08-31,20.644323
2024-09-30,23.351873
2024-10-31,21.280714
2024-11-30,20.64606
2024-12-31,20.44603
2025-01-31,21.832031
2025-02-28,20.865267
2025-03-31,21.223883
2025-04-30,19.328577
2025-05-31,19.274591
2025-06-30,18.02162
2025-07-31,19.224577
2025-08-31,20.756826
2025-09-30,23.216534
2025-10-31,21.428072
2025-11-30,20.52063
2025-12-31,20.56403
2026-01-31,21.717121
2026-02-28,20.983265
2026-03-31,21.107327
2026-04-30,19.465372
2026-05-31,19.149477
2026-06-30,18.156858
2026-07-31,19.075722
2026-08-31,20.868374
