ds,yhat1
2020-01-31,25.129225
2020-02-29,25.076336
2020-03-31,25.209806
2020-04-30,24.521206
2020-05-31,23.600302
2020-06-30,22.727842
2020-07-31,22.96117
2020-08-31,24.613855
2020-09-30,27.281204
2020-10-31,28.000422
2020-11-30,25.404211
2020-12-31,25.128471
2021-01-31,25.250725
2021-02-28,25.118092
2021-03-31,25.165869
2021-04-30,24.575909
2021-05-31,23.559917
2021-06-30,22.782156
2021-07-31,22.90225
2021-08-31,24.645237
2021-09-30,27.209827
2021-10-31,28.063519
2021-11-30,25.372734
2021-12-31,25.170464
2022-01-31,25.210333
2022-02-28,25.159794
2022-03-31,25.12209
2022-04-30,24.630432
2022-05-31,23.519451
2022-06-30,22.835955
2022-07-31,22.843422
2022-08-31,24.676596
2022-09-30,27.13887
2022-10-31,28.126299
2022-11-30,25.341644
2022-12-31,25.212826
2023-01-31,25.169867
2023-02-28,25.201641
2023-03-31,25.078316
2023-04-30,24.684937
2023-05-31,23.478867
2023-06-30,22.889723
2023-07-31,22.784697
2023-08-31,24.708145
2023-09-30,27.067776
2023-10-31,28.188702
2023-11-30,25.310373
2023-12-31,25.25477
2024-01-31,25.129305
2024-02-29,25.076502
2024-03-31,25.209686
2024-04-30,24.52107
2024-05-31,23.600004
2024-06-30,22.728003
2024-07-31,22.96154
2024-08-31,24.61356
2024-09-30,27.28088
2024-10-31,28.000265
2024-11-30,25.404072
2024-12-31,25.128561
2025-01-31,25.251108
2025-02-28,25.118256
2025-03-31,25.165958
2025-04-30,24.575773
2025-05-31,23.559622
2025-06-30,22.7818
2025-07-31,22.902527
2025-08-31,24.645346
2025-09-30,27.209873
2025-10-31,28.063362
2025-11-30,25.372677
2025-12-31,25.170555
2026-01-31,25.210745
2026-02-28,25.159958
2026-03-31,25.122206
2026-04-30,24.630297
2026-05-31,23.519157
2026-06-30,22.83562
2026-07-31,22.843277
2026-08-31,24.676704
2026-09-30,27.138943
2026-10-31,28.126156
2026-11-30,25.341503
2026-12-31,25.212538
2027-01-31,25.170254
2027-02-28,25.201523
2027-03-31,25.078407
2027-04-30,24.684708
2027-05-31,23.478813
2027-06-30,22.889883
2027-07-31,22.784609
2027-08-31,24.708256
