ds,yhat1
2020-01-31,25.81981
2020-02-29,25.319698
2020-03-31,25.109566
2020-04-30,23.801868
2020-05-31,22.556232
2020-06-30,21.407051
2020-07-31,21.697813
2020-08-31,23.076374
2020-09-30,26.215858
2020-10-31,27.125956
2020-11-30,25.794872
2020-12-31,25.420013
2021-01-31,25.693476
2021-02-28,25.400116
2021-03-31,25.414978
2021-04-30,24.749016
2021-05-31,23.712109
2021-06-30,22.813126
2021-07-31,22.877789
2021-08-31,24.490261
2021-09-30,27.415442
2021-10-31,27.824429
2021-11-30,25.518444
2021-12-31,24.576641
2022-01-31,23.881878
2022-02-28,23.932867
2022-03-31,23.901268
2022-04-30,23.61306
2022-05-31,22.51297
2022-06-30,21.88104
2022-07-31,21.74478
2022-08-31,23.615149
2022-09-30,26.350124
2022-10-31,27.281471
2022-11-30,25.011545
2022-12-31,24.547745
2023-01-31,23.905306
2023-02-28,24.460966
2023-03-31,24.559563
2023-04-30,24.820234
2023-05-31,23.833603
2023-06-30,23.564997
2023-07-31,23.321304
2023-08-31,25.543009
2023-09-30,28.177559
2023-10-31,29.583344
2023-11-30,27.300564
2023-12-31,27.264668
2024-01-31,26.62265
2024-02-29,26.390156
2024-03-31,26.465416
2024-04-30,25.434425
2024-05-31,24.4743
2024-06-30,23.513544
2024-07-31,23.996107
2024-08-31,25.564348
2024-09-30,28.888922
2024-10-31,29.514507
2024-11-30,27.900257
2024-12-31,27.23328
2025-01-31,27.21831
2025-02-28,26.792788
2025-03-31,26.661823
2025-04-30,25.854242
2025-05-31,24.671112
2025-06-30,23.930895
2025-07-31,24.171661
2025-08-31,25.958248
2025-09-30,29.052298
2025-10-31,29.937927
2025-11-30,28.10081
2025-12-31,27.643856
2026-01-31,27.420698
2026-02-28,27.195251
2026-03-31,26.858166
2026-04-30,26.273817
2026-05-31,24.867836
2026-06-30,24.348213
2026-07-31,24.346346
2026-08-31,26.351196
2026-09-30,29.215721
2026-10-31,30.36121
2026-11-30,28.30151
2026-12-31,28.05449
2027-01-31,27.622772
2027-02-28,27.597431
2027-03-31,27.054476
2027-04-30,26.693186
2027-05-31,25.064695
2027-06-30,24.766474
2027-07-31,24.522242
2027-08-31,26.744452
