ds,yhat1
2020-01-31,25.836742
2020-02-29,25.34208
2020-03-31,25.147486
2020-04-30,23.83997
2020-05-31,22.610003
2020-06-30,21.413927
2020-07-31,21.66806
2020-08-31,22.99676
2020-09-30,26.094406
2020-10-31,27.042122
2020-11-30,25.78231
2020-12-31,25.41846
2021-01-31,25.752377
2021-02-28,25.437214
2021-03-31,25.438725
2021-04-30,24.75524
2021-05-31,23.704803
2021-06-30,22.819475
2021-07-31,22.901518
2021-08-31,24.528744
2021-09-30,27.464296
2021-10-31,27.834604
2021-11-30,25.514017
2021-12-31,24.504414
2022-01-31,23.783842
2022-02-28,23.866966
2022-03-31,23.870848
2022-04-30,23.6226
2022-05-31,22.557495
2022-06-30,21.929731
2022-07-31,21.787556
2022-08-31,23.659958
2022-09-30,26.382708
2022-10-31,27.289951
2022-11-30,25.010534
2022-12-31,24.494205
2023-01-31,23.829996
2023-02-28,24.404503
2023-03-31,24.512945
2023-04-30,24.799007
2023-05-31,23.821411
2023-06-30,23.566738
2023-07-31,23.31735
2023-08-31,25.551886
2023-09-30,28.174366
2023-10-31,29.610373
2023-11-30,27.362715
2023-12-31,27.330416
2024-01-31,26.711864
2024-02-29,26.444136
2024-03-31,26.491432
2024-04-30,25.418533
2024-05-31,24.430576
2024-06-30,23.466042
2024-07-31,23.958761
2024-08-31,25.52388
2024-09-30,28.85188
2024-10-31,29.493614
2024-11-30,27.928783
2024-12-31,27.250248
2025-01-31,27.273232
2025-02-28,26.808062
2025-03-31,26.644001
2025-04-30,25.799778
2025-05-31,24.583363
2025-06-30,23.84444
2025-07-31,24.090088
2025-08-31,25.878881
2025-09-30,28.971172
2025-10-31,29.87764
2025-11-30,28.08519
2025-12-31,27.621706
2026-01-31,27.431707
2026-02-28,27.171814
2026-03-31,26.796503
2026-04-30,26.180775
2026-05-31,24.736065
2026-06-30,24.222803
2026-07-31,24.22052
2026-08-31,26.232908
