ds,yhat1
2020-01-31,75.96938
2020-02-29,77.8705
2020-03-31,77.58631
2020-04-30,79.19842
2020-05-31,65.844086
2020-06-30,62.938293
2020-07-31,53.25321
2020-08-31,50.32338
2020-09-30,46.503883
2020-10-31,57.271057
2020-11-30,67.68294
2020-12-31,71.49124
2021-01-31,70.64144
2021-02-28,71.198555
2021-03-31,69.42836
2021-04-30,68.19809
2021-05-31,53.445843
2021-06-30,51.022346
2021-07-31,43.75068
2021-08-31,41.441013
2021-09-30,39.904694
2021-10-31,54.1174
2021-11-30,69.74831
2021-12-31,77.25563
2022-01-31,81.54369
2022-02-28,80.32852
2022-03-31,78.10526
2022-04-30,75.033936
2022-05-31,59.920776
2022-06-30,55.70682
2022-07-31,48.41169
2022-08-31,44.286964
2022-09-30,42.67634
2022-10-31,54.552444
2022-11-30,69.743965
2022-12-31,75.102005
2023-01-31,78.840485
2023-02-28,77.10152
2023-03-31,75.81149
2023-04-30,72.23846
2023-05-31,58.15361
2023-06-30,52.689323
2023-07-31,45.89645
2023-08-31,40.479977
2023-09-30,39.303925
2023-10-31,48.823486
2023-11-30,63.530724
2023-12-31,66.68997
2024-01-31,69.80475
2024-02-29,69.63576
2024-03-31,67.14172
2024-04-30,66.61284
2024-05-31,51.048798
2024-06-30,48.292946
2024-07-31,38.82617
2024-08-31,36.122665
2024-09-30,32.516457
2024-10-31,44.915737
2024-11-30,56.93038
2024-12-31,62.39344
2025-01-31,63.15708
2025-02-28,63.717804
2025-03-31,61.95015
2025-04-30,60.72365
2025-05-31,45.97599
2025-06-30,42.334854
2025-07-31,33.75658
2025-08-31,30.148058
2025-09-30,27.352388
2025-10-31,38.793835
2025-11-30,51.705208
2025-12-31,56.401863
2026-01-31,57.946
2026-02-28,57.800087
2026-03-31,56.758915
2026-04-30,54.83309
2026-05-31,40.904182
2026-06-30,36.375866
2026-07-31,28.691162
2026-08-31,24.17652
2026-09-30,22.18961
2026-10-31,32.67153
2026-11-30,46.479702
2026-12-31,50.409794
2027-01-31,52.735992
2027-02-28,51.883278
2027-03-31,51.56816
2027-04-30,48.941658
2027-05-31,35.834232
2027-06-30,30.413074
2027-07-31,23.622374
2027-08-31,18.204346
