ds,yhat1
2020-01-31,75.655914
2020-02-29,77.73713
2020-03-31,77.53976
2020-04-30,79.41688
2020-05-31,66.1504
2020-06-30,63.25638
2020-07-31,53.276188
2020-08-31,50.368614
2020-09-30,46.240715
2020-10-31,57.219193
2020-11-30,67.49521
2020-12-31,71.49813
2021-01-31,70.60847
2021-02-28,71.244835
2021-03-31,69.449615
2021-04-30,68.18729
2021-05-31,53.415665
2021-06-30,51.029022
2021-07-31,43.704643
2021-08-31,41.452873
2021-09-30,39.84511
2021-10-31,54.183693
2021-11-30,69.794266
2021-12-31,77.410286
2022-01-31,81.76759
2022-02-28,80.43482
2022-03-31,78.16375
2022-04-30,74.85005
2022-05-31,59.69963
2022-06-30,55.523537
2022-07-31,48.39307
2022-08-31,44.337257
2022-09-30,42.86798
2022-10-31,54.64998
2022-11-30,69.80082
2022-12-31,75.0407
2023-01-31,78.82358
2023-02-28,77.01439
2023-03-31,75.92452
2023-04-30,72.16085
2023-05-31,58.29168
2023-06-30,52.647385
2023-07-31,45.98897
2023-08-31,40.404915
2023-09-30,39.343494
2023-10-31,48.72991
2023-11-30,63.56472
2023-12-31,66.57335
2024-01-31,69.89679
2024-02-29,69.729294
2024-03-31,67.13143
2024-04-30,66.68282
2024-05-31,51.015984
2024-06-30,48.38045
2024-07-31,38.738716
2024-08-31,36.17857
2024-09-30,32.380455
2024-10-31,44.951664
2024-11-30,56.79007
2024-12-31,62.405777
2025-01-31,63.08902
2025-02-28,63.743004
2025-03-31,61.965588
2025-04-30,60.722046
2025-05-31,45.970497
2025-06-30,42.349274
2025-07-31,33.698982
2025-08-31,30.129997
2025-09-30,27.244879
2025-10-31,38.756676
2025-11-30,51.59289
2025-12-31,56.34136
2026-01-31,57.90107
2026-02-28,57.757034
2026-03-31,56.800102
2026-04-30,54.759933
2026-05-31,40.926033
2026-06-30,36.317234
2026-07-31,28.663923
2026-08-31,24.084917
