ds,yhat1
2020-01-31,1.215451
2020-02-29,1.1382296
2020-03-31,1.1084304
2020-04-30,1.244653
2020-05-31,1.2492733
2020-06-30,1.4166554
2020-07-31,1.5734156
2020-08-31,1.8562577
2020-09-30,1.7336898
2020-10-31,1.531834
2020-11-30,1.2655987
2020-12-31,1.2051666
2021-01-31,1.0691907
2021-02-28,1.0301152
2021-03-31,1.0359952
2021-04-30,1.1565425
2021-05-31,1.1995292
2021-06-30,1.3521864
2021-07-31,1.5507423
2021-08-31,1.8208262
2021-09-30,1.7426772
2021-10-31,1.5196702
2021-11-30,1.286159
2021-12-31,1.2037526
2022-01-31,1.0999341
2022-02-28,1.0327926
2022-03-31,1.0599635
2022-04-30,1.1510358
2022-05-31,1.2180941
2022-06-30,1.3438339
2022-07-31,1.571498
2022-08-31,1.81618
2022-09-30,1.770179
2022-10-31,1.5176127
2022-11-30,1.308603
2022-12-31,1.1955149
2023-01-31,1.1156561
2023-02-28,1.013416
2023-03-31,1.0541979
2023-04-30,1.1083295
2023-05-31,1.1918068
2023-06-30,1.2782233
2023-07-31,1.5220215
2023-08-31,1.7283276
2023-09-30,1.7019693
2023-10-31,1.4460623
2023-11-30,1.288534
2023-12-31,1.1725223
2024-01-31,1.1444012
2024-02-29,1.0867149
2024-03-31,1.077869
2024-04-30,1.2343106
2024-05-31,1.2598798
2024-06-30,1.4321558
2024-07-31,1.593637
2024-08-31,1.8814609
2024-09-30,1.7635174
2024-10-31,1.5901926
2024-11-30,1.3520001
2024-12-31,1.320489
2025-01-31,1.2129518
2025-02-28,1.1826931
2025-03-31,1.1982641
2025-04-30,1.328254
2025-05-31,1.3809893
2025-06-30,1.5250354
2025-07-31,1.7138951
2025-08-31,1.9745381
2025-09-30,1.887183
2025-10-31,1.6863527
2025-11-30,1.4749906
2025-12-31,1.4153898
2026-01-31,1.3342099
2026-02-28,1.2786983
2026-03-31,1.3186746
2026-04-30,1.4222016
2026-05-31,1.5021223
2026-06-30,1.6179383
2026-07-31,1.8343017
2026-08-31,2.0677016
2026-09-30,2.010829
2026-10-31,1.7824962
2026-11-30,1.5979786
2026-12-31,1.5102758
2027-01-31,1.4555054
2027-02-28,1.3747417
2027-03-31,1.439095
2027-04-30,1.5161597
2027-05-31,1.6232579
2027-06-30,1.7107253
2027-07-31,1.9545875
2027-08-31,2.1608295
