ds,yhat1
2020-01-31,1.2221049
2020-02-29,1.1411712
2020-03-31,1.1071277
2020-04-30,1.2396259
2020-05-31,1.2416062
2020-06-30,1.411607
2020-07-31,1.5730147
2020-08-31,1.8597693
2020-09-30,1.7405301
2020-10-31,1.5346174
2020-11-30,1.2669507
2020-12-31,1.204303
2021-01-31,1.0661695
2021-02-28,1.0276695
2021-03-31,1.0339434
2021-04-30,1.1558241
2021-05-31,1.2008047
2021-06-30,1.3528035
2021-07-31,1.5517273
2021-08-31,1.8221132
2021-09-30,1.7431593
2021-10-31,1.5183349
2021-11-30,1.2850304
2021-12-31,1.2027421
2022-01-31,1.0984274
2022-02-28,1.0319582
2022-03-31,1.0590193
2022-04-30,1.1515048
2022-05-31,1.2200478
2022-06-30,1.3448312
2022-07-31,1.5718677
2022-08-31,1.8165234
2022-09-30,1.7687621
2022-10-31,1.5155972
2022-11-30,1.3074032
2022-12-31,1.1957053
2023-01-31,1.1159861
2023-02-28,1.0140485
2023-03-31,1.0536985
2023-04-30,1.1088215
2023-05-31,1.1927557
2023-06-30,1.2784404
2023-07-31,1.5212004
2023-08-31,1.7277371
2023-09-30,1.6992295
2023-10-31,1.443542
2023-11-30,1.2870355
2023-12-31,1.173271
2024-01-31,1.1455387
2024-02-29,1.0875957
2024-03-31,1.0781987
2024-04-30,1.2344905
2024-05-31,1.2611127
2024-06-30,1.4316785
2024-07-31,1.5931252
2024-08-31,1.880177
2024-09-30,1.7610304
2024-10-31,1.5870423
2024-11-30,1.3508279
2024-12-31,1.3206251
2025-01-31,1.2143365
2025-02-28,1.1835368
2025-03-31,1.1982661
2025-04-30,1.328393
2025-05-31,1.3818861
2025-06-30,1.5245433
2025-07-31,1.7130346
2025-08-31,1.9732399
2025-09-30,1.8843656
2025-10-31,1.683166
2025-11-30,1.4734638
2025-12-31,1.4154835
2026-01-31,1.3352668
2026-02-28,1.2795043
2026-03-31,1.318349
2026-04-30,1.4222999
2026-05-31,1.5026828
2026-06-30,1.6174312
2026-07-31,1.833091
2026-08-31,2.0663884
